quantidadeItemVenda,precoUnitarioItemVenda,idProduto,idVenda
6,0.0,2,989
11,0.0,40,216
12,0.0,27,144
10,0.0,55,7
8,0.0,38,980
1,0.0,78,242
8,0.0,48,500
6,0.0,57,2
9,0.0,90,417
4,0.0,46,895
6,0.0,45,346
2,0.0,70,892
6,0.0,20,214
11,0.0,81,108
2,0.0,25,895
6,0.0,9,975
2,0.0,16,620
5,0.0,52,695
10,0.0,54,860
12,0.0,16,741
4,0.0,100,359
11,0.0,66,911
6,0.0,19,474
7,0.0,55,157
4,0.0,42,543
4,0.0,87,980
3,0.0,56,706
5,0.0,76,842
7,0.0,31,153
5,0.0,65,864
11,0.0,54,836
10,0.0,67,449
3,0.0,5,730
12,0.0,85,823
5,0.0,59,733
3,0.0,6,7
7,0.0,81,261
12,0.0,76,267
12,0.0,96,199
10,0.0,48,931
9,0.0,15,193
1,0.0,15,221
10,0.0,90,826
11,0.0,43,413
11,0.0,93,48
12,0.0,1,878
7,0.0,43,905
8,0.0,51,304
9,0.0,35,758
6,0.0,87,291
10,0.0,48,187
3,0.0,78,863
10,0.0,20,293
10,0.0,64,888
8,0.0,25,904
1,0.0,55,678
10,0.0,94,837
11,0.0,36,319
2,0.0,96,77
1,0.0,97,841
5,0.0,45,494
7,0.0,32,780
8,0.0,64,853
8,0.0,40,125
11,0.0,23,854
1,0.0,66,647
5,0.0,89,915
6,0.0,11,302
10,0.0,13,469
4,0.0,72,493
4,0.0,94,996
4,0.0,18,199
1,0.0,94,646
1,0.0,33,957
1,0.0,19,11
11,0.0,15,259
3,0.0,15,92
7,0.0,80,61
1,0.0,47,617
6,0.0,80,264
8,0.0,20,307
7,0.0,54,782
8,0.0,22,539
1,0.0,48,885
10,0.0,84,461
3,0.0,45,584
4,0.0,76,627
6,0.0,5,894
12,0.0,2,636
10,0.0,94,450
12,0.0,54,112
3,0.0,60,317
8,0.0,84,984
8,0.0,47,388
12,0.0,59,109
6,0.0,30,77
6,0.0,30,611
